Processado,Método,URI,Marcadores
true,GET,http://g1.globo.com/pop-arte/cinema/,
true,GET,https://g1.globo.com/pop-arte/diversidade/,
true,GET,http://g1.globo.com/tecnologia/games/,
true,GET,http://g1.globo.com/musica/,
true,GET,https://g1.globo.com/pop-arte/tv-e-series/,
true,GET,https://g1.globo.com/pop-arte/musica/circuito-sertanejo/,
true,GET,https://g1.globo.com/pop-arte/musica/the-town/2025/,
true,GET,https://g1.globo.com/saude/,
true,GET,https://g1.globo.com/saude/bem-estar/,
true,GET,https://g1.globo.com/saude/coronavirus/,
true,GET,https://g1.globo.com/tecnologia/,
true,GET,https://g1.globo.com/trabalho-e-carreira/,
true,GET,https://g1.globo.com/trabalho-e-carreira/concursos/,
true,GET,https://g1.globo.com/trabalho-e-carreira/vagas-de-emprego/,
true,GET,https://g1.globo.com/turismo-e-viagem/,
true,GET,https://g1.globo.com/turismo-e-viagem/descubra-o-brasil/,
true,GET,https://g1.globo.com/jogos,
true,GET,https://g1.globo.com/jogos/,
true,GET,https://g1.globo.com/jogos/soletra/,
true,GET,https://g1.globo.com/jogos/labirinto/,
true,GET,https://g1.globo.com/jogos/combinado/,
true,GET,https://g1.globo.com/jogos/dito/,
true,GET,https://g1.globo.com/jogos/palavras-cruzadas/,
true,GET,https://g1.globo.com/jogos/palavras-cruzadas-mini/,
true,GET,https://g1.globo.com/jogos/sudoku/,
true,GET,https://g1.globo.com/jogos/caca-palavras/,
false,GET,https://www.assinecoquetel.com.br/,Fora do Escopo
true,GET,https://g1.globo.com/guia/guia-de-compras/,
true,GET,https://g1.globo.com/guia/guia-de-compras/casa/,
true,GET,https://g1.globo.com/guia/guia-de-compras/tecnologia/celulares/,
true,GET,https://g1.globo.com/guia/guia-de-compras/lazer/,
true,GET,https://g1.globo.com/guia/guia-de-compras/moda-e-beleza/,
true,GET,https://g1.globo.com/guia/guia-de-compras/presentes/,
true,GET,https://g1.globo.com/guia/guia-de-compras/tecnologia/,
false,GET,https://especiaispublicitarios.g1.globo.com/vqt-mercado-pago/,Fora do Escopo
true,GET,https://g1.globo.com/df/distrito-federal/,
true,GET,https://g1.globo.com/df/distrito-federal/bom-dia-df/,
true,GET,https://g1.globo.com/df/distrito-federal/df1/,
true,GET,https://g1.globo.com/df/distrito-federal/df2/,
false,GET,https://globoplay.globo.com/globo-comunidade-df/p/4504/,Fora do Escopo
true,GET,https://g1.globo.com/df/distrito-federal/df-no-campo/,
true,GET,https://g1.globo.com/df/distrito-federal/o-que-fazer-no-distrito-federal/,
true,GET,https://g1.globo.com/df/distrito-federal/moto-week/,
true,GET,https://g1.globo.com/go/goias/,
false,GET,https://globoplay.globo.com/bom-dia-go/p/5368/,Fora do Escopo
false,GET,https://globoplay.globo.com/bom-dia-sabado-goias/p/11179/,Fora do Escopo
false,GET,https://globoplay.globo.com/ja-1a-edicao/p/5369/,Fora do Escopo
false,GET,https://globoplay.globo.com/ja-2a-edicao/p/5370/,Fora do Escopo
false,GET,https://globoplay.globo.com/jornal-do-campo-go/p/5372/,Fora do Escopo
false,GET,http://globoesporte.globo.com/go/,Fora do Escopo
true,GET,https://g1.globo.com/go/goias/mercado-imobiliario/,
true,GET,https://g1.globo.com/mt/mato-grosso/,
false,GET,https://globoplay.globo.com/bom-dia-mt/p/5240/,Fora do Escopo
false,GET,https://globoplay.globo.com/mttv-1a-edicao-cuiaba/p/5246/,Fora do Escopo
false,GET,https://globoplay.globo.com/mt-rural/p/5232/,Fora do Escopo
false,GET,https://globoplay.globo.com/mttv-2a-edicao-cuiaba/p/5236/,Fora do Escopo
false,GET,http://globoesporte.globo.com/mt/,Fora do Escopo
true,GET,https://g1.globo.com/ms/mato-grosso-do-sul/,
false,GET,https://globoplay.globo.com/bom-dia-ms/p/5251/,Fora do Escopo
false,GET,https://globoplay.globo.com/mstv-1a-edicao-campo-grande/p/5244/,Fora do Escopo
false,GET,https://globoplay.globo.com/mstv-2a-edicao-campo-grande/p/5249/,Fora do Escopo
false,GET,https://globoplay.globo.com/ms-rural/p/5256/,Fora do Escopo
false,GET,https://globoesporte.globo.com/ms/,Fora do Escopo
true,GET,https://g1.globo.com/al/alagoas/,
false,GET,http://globoesporte.globo.com/al/,Fora do Escopo
true,GET,https://g1.globo.com/ba/bahia/,
false,GET,https://globoplay.globo.com/jornal-da-manha/p/5181/,Fora do Escopo
false,GET,https://globoplay.globo.com/bahia-meio-dia-salvador/p/5182/,Fora do Escopo
false,GET,https://globoplay.globo.com/batv-salvador/p/5195/,Fora do Escopo
false,GET,https://globoplay.globo.com/bahia-rural/p/5187/,Fora do Escopo
false,GET,http://globoesporte.globo.com/ba/,Fora do Escopo
true,GET,https://g1.globo.com/ce/ceara/,
false,GET,https://globoplay.globo.com/bom-dia-ceara/p/5289/,Fora do Escopo
false,GET,https://globoplay.globo.com/cetv-1a-edicao-fortaleza/p/5290/,Fora do Escopo
false,GET,https://globoplay.globo.com/cetv-2a-edicao/p/5292/,Fora do Escopo
false,GET,https://globoplay.globo.com/ne-rural-ceara/p/5294/,Fora do Escopo
false,GET,http://globoesporte.globo.com/ce/,Fora do Escopo
true,GET,https://g1.globo.com/ma/maranhao/,
false,GET,https://globoplay.globo.com/bom-dia-mirante/p/5741/,Fora do Escopo
false,GET,https://globoplay.globo.com/jmtv-1a-edicao/p/5742/,Fora do Escopo
false,GET,https://globoplay.globo.com/jmtv-2a-edicao/p/5743/,Fora do Escopo
false,GET,https://globoplay.globo.com/mirante-rural/p/5763/,Fora do Escopo
false,GET,http://globoesporte.globo.com/ma/,Fora do Escopo
false,GET,https://globoplay.globo.com/daqui/p/10315/,Fora do Escopo
false,GET,https://globoplay.globo.com/reporter-mirante/p/5762/,Fora do Escopo
true,GET,https://g1.globo.com/pb/paraiba/,
false,GET,https://globoplay.globo.com/bom-dia-paraiba/p/5418/,Fora do Escopo
false,GET,https://globoplay.globo.com/jpb-1a-edicao/p/5420/,Fora do Escopo
false,GET,https://globoplay.globo.com/jpb-2a-edicao/p/5421/,Fora do Escopo
false,GET,https://globoplay.globo.com/paraiba-comunidade/p/5419/,Fora do Escopo
false,GET,http://globoesporte.globo.com/pb/,Fora do Escopo
true,GET,https://g1.globo.com/pe/pernambuco/,
true,GET,https://g1.globo.com/pe/pernambuco/bom-dia-pe/,
true,GET,https://g1.globo.com/pe/pernambuco/ne1/,
true,GET,https://g1.globo.com/pe/pernambuco/ne2/,
true,GET,https://g1.globo.com/pe/pernambuco/espaco-pe/,
true,GET,https://g1.globo.com/pe/pernambuco/globo-comunidade-pe/,
false,GET,https://globoplay.globo.com/nordeste-viver-e-preservar/p/5457/,Fora do Escopo
true,GET,https://g1.globo.com/pe/pernambuco/educacao/,
false,GET,http://globoesporte.globo.com/pe/,Fora do Escopo
true,GET,https://g1.globo.com/pe/pernambuco/especial-publicitario/praia-limpa/,
true,GET,https://g1.globo.com/pe/pernambuco/sao-joao/sao-joao-de-pernambuco-2025/,
true,GET,https://g1.globo.com/carros/marcas/citroen/,
true,GET,https://g1.globo.com/pe/caruaru-regiao/,
true,GET,https://g1.globo.com/carros/marcas/hyundai/,
false,GET,https://globoplay.globo.com/bom-dia-pe/p/5453/,Fora do Escopo
false,GET,https://globoplay.globo.com/ab-tv-1a-edicao/p/7646/,Fora do Escopo
false,GET,https://globoplay.globo.com/ab-tv-2a-edicao/p/7647/,Fora do Escopo
false,GET,https://globoplay.globo.com/globo-comunidade-pe/p/5455/,Fora do Escopo
false,GET,http://globoesporte.globo.com/pe/caruaru-regiao/,Fora do Escopo
true,GET,https://g1.globo.com/pe/caruaru-regiao/paixao-de-cristo-em-nova-jerusalem/2025/,
true,GET,https://g1.globo.com/carros/marcas/aston-martin/,
true,GET,https://g1.globo.com/pe/petrolina-regiao/,
true,GET,https://g1.globo.com/carros/marcas/changan/,
false,GET,https://globoplay.globo.com/grtv-1a-edicao/p/7821/,Fora do Escopo
false,GET,https://globoplay.globo.com/grtv-2a-edicao/p/7822/,Fora do Escopo
false,GET,http://globoesporte.globo.com/pe/petrolina-regiao/,Fora do Escopo
true,GET,https://g1.globo.com/pi/piaui/,
true,GET,https://g1.globo.com/carros/marcas/hafei/,
true,GET,https://g1.globo.com/carros/marcas/jinbei/,
true,GET,https://g1.globo.com/carros/marcas/lifan/,
false,GET,https://globoplay.globo.com/bom-dia-piaui/p/7250/,Fora do Escopo
false,GET,https://globoplay.globo.com/bom-dia-sabado-tv-clube/p/10945/,Fora do Escopo
false,GET,https://globoplay.globo.com/pitv-1a-edicao/p/7252/,Fora do Escopo
false,GET,https://globoplay.globo.com/pitv-2a-edicao/p/7253/,Fora do Escopo
true,GET,https://g1.globo.com/carros/marcas/porsche/,
false,GET,https://globoplay.globo.com/clube-rural/p/7254/,Fora do Escopo
